Job Number,Position,Company,Location,Status,Date Applied
82,Software Developer (Python),Turing,Remote,Applied,2026-01-05
83,Forward Deployed Engineer (FDE) - Insurance & AI Products,Soter,Remote,Applied,2026-01-06
84,EPIC Business Intelligence Developer II,Lakeland Regional Health-Florida,Lakeland FL (Remote),Applied,2026-01-06
85,Developer - Generative AI,Smart IT Frame LLC,New York NY (Hybrid),Applied,2026-01-06
86,OpenShift System Engineer,Optomi,Remote,Applied,2026-01-06
87,Senior Data Engineer,Sibitalent Corp,Hartford CT (Hybrid),Applied,2026-01-06
88,Senior Software Engineer,LHH,California (Remote),Applied,2026-01-06
89,DevOps Engineer,Incedo Inc.,Fort Mill SC (Hybrid),Applied,2026-01-06
90,Backend Python Developer,LabXchange360,New Bedford MA (Hybrid),Applied,2026-01-06
91,Full Stack Engineer,IntePros,Pittsburgh PA (Hybrid),Applied,2026-01-06
92,Golang/Go Engineer LLM,YO HR Consultancy,Remote,Applied,2026-01-06
93,Artificial Intelligence Engineer,Code Red Partners,San Francisco Bay Area (Hybrid),Applied,2026-01-06
94,Knowledge Graph AI Engineer,Anblicks,Dallas TX (On-site),Applied,2026-01-06
95,Artificial Intelligence Researcher,Perceptron AI,Edmonds WA (On-site),Applied,2026-01-06
96,Power BI + AI Developer,United Software Group Inc,San Jose CA (On-site),Applied,2026-01-06
97,Senior AI Engineer,Harrison Clarke,San Francisco Bay Area (Remote),Applied,2026-01-06
98,ML Engineer with Timeseries data experience,PDSSOFT INC.,Atlanta GA (On-site),Applied,2026-01-06
99,GPU / CUDA Engineers,Greylock Partners,San Francisco CA (Hybrid),Applied,2026-01-06
100,Lead Full-Stack Engineer - GenAI,Genesis10,Columbus OH (Hybrid),Applied,2026-01-06
101,Machine Learning Infrastructure Engineers,Greylock Partners,San Francisco Bay Area (Hybrid),Applied,2026-01-06
102,Artificial Intelligence Consultant,Brooksource,United States (Remote),Applied,2026-01-06
103,Senior Python Developer,Precision Technologies,United States (Remote),Applied,2026-01-06
104,Junior Cloud Engineer,Helic & Co.,United States (Remote),Applied,2026-01-06
105,Cloud Engineer,Morey,Holland MI (On-site),Applied,2026-01-06
106,Senior System Engineer,Net2Source (N2S),Dallas TX (Hybrid),Applied,2026-01-06
107,Azure Fullstack Engineer,Qualis1 Inc.,Framingham MA (On-site),Applied,2026-01-06
108,Senior Infrastructure Engineer,Go2Group LLC,Salt Lake City UT (Hybrid),Applied,2026-01-06
109,Microsoft 365 Operations Engineer,EVERSANA,Remote,Applied,2026-01-06
110,DevOps Engineer,Softcom Systems Inc,Englewood CO (On-site),Applied,2026-01-06
111,DevOps Engineer,Talentpair,San Francisco Bay Area (Hybrid),Applied,2026-01-06
112,Site Reliability Engineer,Aquent,Austin TX (On-site),Applied,2026-01-06
113,Sr. Site Reliability Engineer,Analytic Partners,Dallas TX (Hybrid),Applied,2026-01-06
